mode: set
blog/internal/common/duplicate.go:16.46,23.2 3 1
blog/internal/common/duplicate.go:26.73,32.38 4 0
blog/internal/common/duplicate.go:32.38,33.33 1 0
blog/internal/common/duplicate.go:33.33,35.4 1 0
blog/internal/common/duplicate.go:38.2,39.14 2 0
blog/internal/common/duplicate.go:43.60,47.21 2 1
blog/internal/common/duplicate.go:47.21,50.29 3 0
blog/internal/common/duplicate.go:50.29,52.34 1 0
blog/internal/common/duplicate.go:52.34,54.5 1 0
blog/internal/common/duplicate.go:56.3,56.16 1 0
blog/internal/common/errors.go:43.36,45.13 1 0
blog/internal/common/errors.go:47.29,48.30 1 0
blog/internal/common/errors.go:51.17,53.26 1 0
blog/internal/common/errors.go:63.27,65.30 1 0
blog/internal/common/errors.go:68.21,69.24 1 0
blog/internal/common/errors.go:70.23,71.26 1 0
blog/internal/common/errors.go:72.25,73.28 1 0
blog/internal/common/errors.go:74.27,75.30 1 0
blog/internal/common/errors.go:80.18,81.26 1 0
blog/internal/common/errors.go:82.23,83.26 1 0
blog/internal/common/errors.go:85.26,86.29 1 0
blog/internal/common/errors.go:87.25,88.28 1 0
blog/internal/common/errors.go:89.34,90.31 1 0
blog/internal/common/errors.go:91.29,92.32 1 0
blog/internal/common/errors.go:93.10,94.33 1 0
blog/internal/common/response.go:14.79,17.2 2 1
blog/internal/auth/context.go:15.77,17.2 1 0
blog/internal/auth/context.go:19.63,22.2 2 0
blog/internal/auth/jwt.go:25.13,32.2 3 1
blog/internal/auth/jwt.go:35.39,41.2 4 1
blog/internal/auth/jwt.go:44.48,48.20 3 1
blog/internal/auth/jwt.go:49.9,50.12 1 1
blog/internal/auth/jwt.go:51.9,52.11 1 0
blog/internal/auth/jwt.go:54.2,54.43 1 1
blog/internal/auth/jwt.go:58.75,68.16 3 1
blog/internal/auth/jwt.go:68.16,70.3 1 0
blog/internal/auth/jwt.go:71.2,77.74 6 1
blog/internal/auth/jwt.go:81.49,83.21 2 1
blog/internal/auth/jwt.go:83.21,86.3 2 0
blog/internal/auth/jwt.go:87.2,95.68 6 1
blog/internal/auth/jwt.go:95.68,98.3 2 0
blog/internal/auth/jwt.go:100.2,101.16 2 1
blog/internal/auth/jwt.go:101.16,104.3 2 0
blog/internal/auth/jwt.go:106.2,107.60 2 1
blog/internal/auth/jwt.go:107.60,110.3 2 0
blog/internal/auth/jwt.go:112.2,112.29 1 1
blog/internal/auth/jwt.go:112.29,115.3 2 0
blog/internal/auth/jwt.go:117.2,117.36 1 1
blog/internal/auth/jwt.go:117.36,120.3 2 0
blog/internal/auth/jwt.go:121.2,121.21 1 1
blog/internal/auth/password.go:22.52,25.16 3 1
blog/internal/auth/password.go:25.16,27.3 1 0
blog/internal/auth/password.go:28.2,31.16 3 1
blog/internal/auth/password.go:31.16,33.3 1 0
blog/internal/auth/password.go:34.2,36.98 2 1
blog/internal/auth/password.go:40.68,43.21 2 1
blog/internal/auth/password.go:43.21,45.3 1 0
blog/internal/auth/password.go:46.2,47.40 2 1
blog/internal/auth/password.go:47.40,49.3 1 0
blog/internal/auth/password.go:50.2,51.16 2 1
blog/internal/auth/password.go:51.16,53.3 1 0
blog/internal/auth/password.go:54.2,55.16 2 1
blog/internal/auth/password.go:55.16,57.3 1 0
blog/internal/auth/password.go:58.2,59.40 2 1
blog/internal/auth/password.go:59.40,61.3 1 0
blog/internal/auth/password.go:63.2,64.16 2 1
blog/internal/auth/password.go:64.16,66.3 1 0
blog/internal/auth/password.go:67.2,67.47 1 1
blog/internal/handler/article_handler.go:20.73,22.2 1 1
blog/internal/handler/article_handler.go:25.80,28.61 2 1
blog/internal/handler/article_handler.go:28.61,31.3 2 0
blog/internal/handler/article_handler.go:33.2,33.39 1 1
blog/internal/handler/article_handler.go:33.39,36.3 2 1
blog/internal/handler/article_handler.go:38.2,39.9 2 1
blog/internal/handler/article_handler.go:39.9,42.3 2 0
blog/internal/handler/article_handler.go:44.2,54.57 2 1
blog/internal/handler/article_handler.go:54.57,57.3 2 0
blog/internal/handler/article_handler.go:59.2,59.72 1 1
blog/internal/handler/article_handler.go:63.80,66.61 2 1
blog/internal/handler/article_handler.go:66.61,69.3 2 0
blog/internal/handler/article_handler.go:71.2,71.39 1 1
blog/internal/handler/article_handler.go:71.39,74.3 2 0
blog/internal/handler/article_handler.go:76.2,77.9 2 1
blog/internal/handler/article_handler.go:77.9,80.3 2 0
blog/internal/handler/article_handler.go:82.2,93.57 2 1
blog/internal/handler/article_handler.go:93.57,96.3 2 0
blog/internal/handler/article_handler.go:98.2,98.72 1 1
blog/internal/handler/article_handler.go:102.80,105.61 2 1
blog/internal/handler/article_handler.go:105.61,108.3 2 0
blog/internal/handler/article_handler.go:110.2,110.39 1 1
blog/internal/handler/article_handler.go:110.39,113.3 2 0
blog/internal/handler/article_handler.go:115.2,116.9 2 1
blog/internal/handler/article_handler.go:116.9,119.3 2 0
blog/internal/handler/article_handler.go:121.2,121.69 1 1
blog/internal/handler/article_handler.go:121.69,124.3 2 0
blog/internal/handler/article_handler.go:126.2,126.72 1 1
blog/internal/handler/article_handler.go:130.81,133.61 2 1
blog/internal/handler/article_handler.go:133.61,136.3 2 0
blog/internal/handler/article_handler.go:138.2,138.39 1 1
blog/internal/handler/article_handler.go:138.39,141.3 2 0
blog/internal/handler/article_handler.go:143.2,144.9 2 1
blog/internal/handler/article_handler.go:144.9,147.3 2 0
blog/internal/handler/article_handler.go:149.2,149.70 1 1
blog/internal/handler/article_handler.go:149.70,152.3 2 0
blog/internal/handler/article_handler.go:154.2,154.72 1 1
blog/internal/handler/article_handler.go:159.83,166.39 4 1
blog/internal/handler/article_handler.go:166.39,169.3 2 0
blog/internal/handler/article_handler.go:171.2,172.16 2 1
blog/internal/handler/article_handler.go:172.16,175.3 2 0
blog/internal/handler/article_handler.go:177.2,177.39 1 1
blog/internal/handler/article_handler.go:177.39,180.3 2 1
blog/internal/handler/article_handler.go:181.2,182.66 2 1
blog/internal/handler/article_handler.go:186.88,192.39 4 1
blog/internal/handler/article_handler.go:192.39,195.3 2 0
blog/internal/handler/article_handler.go:197.2,198.9 2 1
blog/internal/handler/article_handler.go:198.9,201.3 2 0
blog/internal/handler/article_handler.go:203.2,204.16 2 1
blog/internal/handler/article_handler.go:204.16,207.3 2 0
blog/internal/handler/article_handler.go:210.2,210.44 1 1
blog/internal/handler/article_handler.go:210.44,213.3 2 0
blog/internal/handler/article_handler.go:215.2,216.66 2 1
blog/internal/handler/article_handler.go:220.83,227.39 4 1
blog/internal/handler/article_handler.go:227.39,230.3 2 0
blog/internal/handler/article_handler.go:231.2,232.16 2 1
blog/internal/handler/article_handler.go:232.16,235.3 2 0
blog/internal/handler/article_handler.go:236.2,237.82 2 1
blog/internal/handler/article_handler.go:241.81,244.9 2 1
blog/internal/handler/article_handler.go:244.9,247.3 2 1
blog/internal/handler/article_handler.go:248.2,249.16 2 1
blog/internal/handler/article_handler.go:249.16,252.3 2 0
blog/internal/handler/article_handler.go:254.2,255.82 2 1
blog/internal/handler/user_auth_handler.go:21.77,23.2 1 1
blog/internal/handler/user_auth_handler.go:26.76,30.16 3 1
blog/internal/handler/user_auth_handler.go:30.16,33.3 2 1
blog/internal/handler/user_auth_handler.go:35.2,35.39 1 1
blog/internal/handler/user_auth_handler.go:35.39,38.3 2 1
blog/internal/handler/user_auth_handler.go:40.2,52.16 3 1
blog/internal/handler/user_auth_handler.go:52.16,55.3 2 1
blog/internal/handler/user_auth_handler.go:56.2,56.66 1 1
blog/internal/handler/user_auth_handler.go:60.73,63.16 3 1
blog/internal/handler/user_auth_handler.go:63.16,66.3 2 0
blog/internal/handler/user_auth_handler.go:68.2,68.39 1 1
blog/internal/handler/user_auth_handler.go:68.39,71.3 2 0
blog/internal/handler/user_auth_handler.go:73.2,74.16 2 1
blog/internal/handler/user_auth_handler.go:74.16,77.3 2 1
blog/internal/handler/user_auth_handler.go:80.2,81.16 2 1
blog/internal/handler/user_auth_handler.go:81.16,85.3 3 0
blog/internal/handler/user_auth_handler.go:87.2,90.66 2 1
blog/internal/handler/user_handler.go:16.61,18.2 1 1
blog/internal/handler/user_handler.go:21.74,24.9 2 1
blog/internal/handler/user_handler.go:24.9,27.3 2 1
blog/internal/handler/user_handler.go:29.2,30.16 2 1
blog/internal/handler/user_handler.go:30.16,33.3 2 0
blog/internal/handler/user_handler.go:34.2,34.99 1 1
blog/internal/handler/user_handler.go:38.77,41.61 2 1
blog/internal/handler/user_handler.go:41.61,44.3 2 0
blog/internal/handler/user_handler.go:46.2,46.39 1 1
blog/internal/handler/user_handler.go:46.39,49.3 2 1
blog/internal/handler/user_handler.go:51.2,52.9 2 1
blog/internal/handler/user_handler.go:52.9,55.3 2 0
blog/internal/handler/user_handler.go:57.2,58.16 2 1
blog/internal/handler/user_handler.go:58.16,61.3 2 0
blog/internal/handler/user_handler.go:63.2,63.78 1 1
blog/internal/handler/user_handler.go:67.77,70.61 2 1
blog/internal/handler/user_handler.go:70.61,73.3 2 1
blog/internal/handler/user_handler.go:75.2,75.39 1 1
blog/internal/handler/user_handler.go:75.39,78.3 2 1
blog/internal/handler/user_handler.go:80.2,81.9 2 1
blog/internal/handler/user_handler.go:81.9,84.3 2 0
blog/internal/handler/user_handler.go:86.2,87.16 2 1
blog/internal/handler/user_handler.go:87.16,90.3 2 1
blog/internal/handler/user_handler.go:92.2,92.78 1 0
blog/internal/handler/user_handler.go:97.70,99.2 1 1
blog/internal/dto/article/request.go:16.49,17.38 1 1
blog/internal/dto/article/request.go:17.38,19.3 1 1
blog/internal/dto/article/request.go:20.2,20.12 1 1
blog/internal/dto/article/request.go:32.49,33.15 1 1
blog/internal/dto/article/request.go:33.15,35.3 1 1
blog/internal/dto/article/request.go:36.2,36.38 1 1
blog/internal/dto/article/request.go:36.38,38.3 1 0
blog/internal/dto/article/request.go:40.2,40.60 1 1
blog/internal/dto/article/request.go:40.60,42.3 1 0
blog/internal/dto/article/request.go:43.2,43.12 1 1
blog/internal/dto/article/request.go:51.49,52.15 1 1
blog/internal/dto/article/request.go:52.15,54.3 1 1
blog/internal/dto/article/request.go:55.2,55.12 1 1
blog/internal/dto/article/request.go:63.50,64.15 1 1
blog/internal/dto/article/request.go:64.15,66.3 1 1
blog/internal/dto/article/request.go:67.2,67.12 1 1
blog/internal/dto/article/request.go:75.45,76.15 1 1
blog/internal/dto/article/request.go:76.15,78.3 1 1
blog/internal/dto/article/request.go:79.2,79.12 1 1
blog/internal/dto/article/request.go:87.50,88.21 1 0
blog/internal/dto/article/request.go:88.21,90.3 1 0
blog/internal/dto/article/request.go:91.2,91.12 1 0
blog/internal/dto/article/response.go:39.72,40.14 1 0
blog/internal/dto/article/response.go:40.14,42.3 1 0
blog/internal/dto/article/response.go:43.2,52.3 1 0
blog/internal/dto/article/response.go:56.75,62.27 2 0
blog/internal/dto/article/response.go:62.27,65.28 3 0
blog/internal/dto/article/response.go:65.28,67.4 1 0
blog/internal/dto/article/response.go:69.3,75.5 1 0
blog/internal/dto/article/response.go:77.2,78.13 2 0
blog/internal/middleware/auth.go:11.53,12.71 1 1
blog/internal/middleware/auth.go:12.71,15.23 2 1
blog/internal/middleware/auth.go:15.23,19.4 3 1
blog/internal/middleware/auth.go:21.3,21.48 1 0
blog/internal/middleware/auth.go:21.48,25.4 3 0
blog/internal/middleware/auth.go:28.3,29.18 2 0
blog/internal/middleware/auth.go:29.18,33.4 3 0
blog/internal/middleware/auth.go:35.3,36.17 2 0
blog/internal/middleware/auth.go:36.17,40.4 3 0
blog/internal/middleware/auth.go:42.3,45.43 3 0
blog/internal/middleware/duplicate.go:12.80,13.46 1 1
blog/internal/middleware/duplicate.go:13.46,14.72 1 1
blog/internal/middleware/duplicate.go:14.72,17.56 2 1
blog/internal/middleware/duplicate.go:17.56,19.5 1 1
blog/internal/middleware/duplicate.go:22.4,22.43 1 1
blog/internal/middleware/duplicate.go:22.43,25.5 2 1
blog/internal/middleware/duplicate.go:28.4,28.24 1 1
blog/internal/model/article_status_enum.go:13.33,14.11 1 1
blog/internal/model/article_status_enum.go:15.15,16.21 1 1
